POSTCODE,LON,LAT
00000,-46.6638301,-22.2576125
00001,-46.3628267,-23.94075415
00002,-43.2800754,-22.8812824
00003,-47.9905833,-16.4122167
00004,-38.8769217,-12.2222983
00005,-47.9563083,-16.359635
00006,-46.80764,-23.57160665
00007,-49.0272175,-16.35504835
00008,-38.4695421,-12.9120082
00009,-64.3504833,-9.27892
00011,-43.2539367,-22.9894783
00012,-45.44978,-23.18157
00013,-47.0184967,-23.1579467
00014,-47.738685,-21.1417675
00015,-50.0099183,-20.3965383
00016,-50.3992133,-21.2806933
00017,-48.609955,-22.3510567
00018,-47.3660033,-23.5193367
00019,-51.46912915,-22.19641915
00020,-43.1962425,-22.89912915
00021,-43.3594191,-22.81404
00022,-48.18745,-16.686935
00023,-43.5350508,-22.9028483
00024,-43.0892311,-22.893215
00025,-43.2376633,-22.6872401
00026,-43.5423681,-22.6946057
00027,-43.8231333,-22.42062085
00028,-41.2682283,-21.6757233
00029,-40.0712476,-19.3761533
00032,-44.06746915,-19.8531317
00033,-43.8104561,-19.8084473
00034,-43.6952717,-19.8037883
00035,-42.246166650000006,-18.76386835
00036,-43.6609417,-21.2697717
00037,-45.3540233,-22.36945
00038,-47.8892517,-19.710885
00039,-43.8399167,-16.64638
00040,-38.4946412,-12.9305332
00041,-38.4658131,-12.9457602
00042,-38.1305989,-12.6941405
00044,-38.9876833,-12.2400117
00045,-40.89475,-14.9397883
00047,-44.9904467,-12.1342403
00048,-38.36069165,-12.00071585
00049,-43.7838058,-16.5253292
00050,-34.8699167,-7.9823833
00053,-34.8887725,-7.98835165
00055,-36.4611833,-8.272325
00056,-40.5443412,-9.3910968
00057,-36.620915,-9.3570317
00058,-35.97681335,-7.2488567
00059,-35.2729588,-5.8423707
00060,-46.8028575,-23.4872325
00061,-47.8562133,-16.434005
00062,-42.85032,-5.0235483
00064,-42.7457495,-5.1972485
00065,-44.265451,-2.5472545
00066,-48.4840064,-1.428865
00068,-54.30773,-2.4821817
00069,-59.9348389,-3.0826633
00070,-46.5243567,-23.4159167
00072,-50.89472665,-17.86334415
00073,-47.285155,-14.9427883
00074,-49.4024583,-16.7099333
00075,-49.01082415,-16.3047017
00076,-66.67067,-9.80387
00077,-48.31352915,-10.2643633
00078,-56.25540665,-15.5859667
00079,-54.85708,-20.243405
00080,-49.2768291,-25.362926
00082,-49.3867917,-26.3053283
00083,-49.20528415,-25.69668
00085,-51.5332517,-25.5887117
00086,-46.2955233,-23.67608085
00087,-46.16288,-23.5680842
00088,-48.7165467,-26.9730717
00089,-49.0100317,-26.2947833
00090,-64.330105,-8.964965
00094,-50.940825,-29.859955
00095,-51.14247335,-29.10091
00096,-52.40321835,-31.5153183
